LGU Type,Region,Province,LGU Name,Income Classification (IC) Code,Population,Income Group,Locally Sourced Revenues (2018),Annual Regular Income (2018),BLGF Estimated Q1 FY 2020 LSR,IRA (FY 2020),"Estimated ARI 
 (FY 2020)**","Estimated LGU Bayanihan Grant 
 (FY 2020)","Amount of SAP Released 
 by DSWD",No. of DSWD-Approved SAP Beneficiaries,SAP Per-Capita Ratio to LGU Population,Additional Required SAP Beneficiaries per LGU Verification,Estimated Other Grants Received,Bayanihan Grant Expenditures (April),Bayanihan Grant Expenditures (May),Total Bayanihan Grant Expenditures (May),Covid-19 Positive Confirmed Cases,Covid-19 Reported Deaths
MUNICIPALITY,BARMM,BASILAN,AKBAR,6*,"17,531",Low,"24,578","24,578","11,060","78,758,033","78,769,093","6,563,169",,,,,,,,,,
MUNICIPALITY,BARMM,BASILAN,AL-BARKA,6*,"20,905",Low,-,-,-,"86,029,822","86,029,822","7,169,152",,,,,,,,,,
PROVINCE,BARMM,BASILAN,BASILAN,3,"346,579",Mid,"9,824,659","937,392,474","4,421,097","1,146,412,626","1,150,833,723","47,767,193",,,,,,,,,,
MUNICIPALITY,BARMM,BASILAN,HADJI MOHAMAMD AJUL,6*,"19,307",Low,"72,800","72,800","32,760","83,277,450","83,310,210","6,939,788",,,,,,,,,,
MUNICIPALITY,BARMM,BASILAN,HADJI MUHTAMAD,6*,"25,085",Low,-,-,-,"94,373,358","94,373,358","7,864,447",,,,,,,,,,
CITY,BARMM,BASILAN,ISABELA CITY (BASILAN),4,"112,788",Mid,"26,320,134","569,740,221","11,844,060","673,141,624","684,985,684","56,095,135",,,,,,,,,,
CITY,BARMM,BASILAN,LAMITAN CITY,6,"74,782",Low,"26,997,284","537,774,640","12,148,778","633,361,313","645,510,091","52,780,109",,,,,,,,,,
MUNICIPALITY,BARMM,BASILAN,LANTAWAN,3,"24,594",Mid,"1,306,121","114,515,057","587,755","127,722,665","128,310,420","10,643,555",,,,,,,,,,
MUNICIPALITY,BARMM,BASILAN,MALUSO,4,"40,646",Mid,"3,248,360","110,319,041","1,461,762","131,171,023","132,632,785","10,930,919",,,,,,,,,,
MUNICIPALITY,BARMM,BASILAN,SUMISIP,1,"41,730",High,"2,729,065","170,433,974","1,228,079","208,402,967","209,631,046","17,366,914",,,,,,,,,,
MUNICIPALITY,BARMM,BASILAN,TABUAN-LASA,6*,"24,188",Low,"530,115","73,898,791","238,552","91,907,034","92,145,586","7,658,920",,,,,,,,,,
MUNICIPALITY,BARMM,BASILAN,TIPO-TIPO,3,"19,163",Mid,"1,371,275","74,059,220","617,074","89,065,525","89,682,599","7,422,127",,,,,,,,,,
MUNICIPALITY,BARMM,BASILAN,TUBURAN,2,"20,207",High,"855,029","130,987,376","384,763","151,521,101","151,905,864","12,626,758",,,,,,,,,,
MUNICIPALITY,BARMM,BASILAN,UNGKAYA PUKAN,6*,"18,441",Low,"384,502","70,045,080","173,026","87,251,884","87,424,910","7,270,990",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,BACOLOD-KALAWI (BACOLOD GRANDE),3,"20,841",Mid,"873,059","133,482,927","392,876","166,161,286","166,554,162","13,846,774",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,BALABAGAN,4,"26,819",Mid,"341,013","103,287,932","153,456","128,916,289","129,069,745","10,743,024",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,BALINDONG (WATU),4,"29,180",Mid,"435,037","115,663,280","195,767","144,336,235","144,532,002","12,028,020",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,BAYANG,5,"23,965",Low,"154,155","80,907,468","69,370","101,040,263","101,109,633","8,420,022",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,BINIDAYAN,4,"22,079",Mid,"384,777","90,433,364","173,150","112,721,919","112,895,069","9,393,493",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,4,"16,130",Mid,"316,429","85,373,030","142,393","106,454,763","106,597,156","8,871,230",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,BUBONG,2,"22,336",High,"811,544","180,716,345","365,195","225,543,827","225,909,022","18,795,319",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,BUMBARAN,3,"10,401",Mid,"1,676,086","126,684,062","754,239","156,617,703","157,371,942","13,051,475",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,BUTIG,6,"19,302",Low,"534,689","107,363,535","240,610","133,791,253","134,031,863","11,149,271",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,CALANOGAS,5,"13,750",Low,"303,265","64,601,475","136,469","80,391,159","80,527,628","6,699,263",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,DITSAAN-RAMAIN,3,"22,299",Mid,"599,624","118,293,521","269,831","147,432,875","147,702,706","12,286,073",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,GANASSI,4,"23,016",Mid,"81,620","101,268,110","36,729","126,706,371","126,743,100","10,558,864",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,KAPAI,4,"18,894",Mid,"188,250","116,264,959","84,712","145,402,760","145,487,472","12,116,897",,,,,,,,,,
MUNICIPALITY,BARMM,LANAO DEL SUR,KAPATAGAN,4,"15,521",Mid,"557,641","95,466,423","250,938","118,825,066","119,076,004","9,902,089",,,,,,,,,,
